Sequence No.,Site No.,round No.,Camera ID No.,Camera make/model,Date set-up,Time set-up,Days out,Height (cm),Date Taken Down,Time Taken Down,Notes,Longitude,Latitude,Eastings,Northings,Key,Team Colour,checked,first notes,second notes,Finished = 1; out = 2; repeat = 3,,,,,,
128,142,2,LHW18-5,BrowningSFP,17/05/2018,14:00,14,50,31/05/2018,11:14,on upright stump two x 399 locks on point,-0.16108,51.57256,,,,,complete record,reset,hedgehogs,1,,,,,,
129,1,2,IOZ18CAM07,browningSFP,16/05/2018,15:00,15,,31/05/2018,13:38,on point medium tree near road,-0.15035,51.55568,,,,,complete record,42% charged,,1,,,,,,
130,150,2,IOZ1500,Reconyx 500,17/05/2018,,18,55,04/06/2018,,,,,,,,,19/05/2018,didn’t open but looked okay,Complete record- sighting of foxes + hedgehogs ,1,,,,,,
131,50,1,CC1500,Reconyx 500,03/05/2018,14:50,21,30,24/05/2018,,Young beech adjoining mature oak,-0.1885,51.5632,,,,,,Placement poor pointed down replace?,hedgehog,1,,,,,,
132,65,1,MR11800,Reconyx 800,03/05/2018,15:00,20,15,23/05/2018,12:00,20m along fence,-0.1886,51.5647,,,,,Complete record,Hedgehog,,1,,,,,,
133,66,1,LHW18-3,BrowningSFP,03/05/2018,15:25,19,20,22/05/2018,16:17,Holly tree on stramline  under silver birch with infections,-0.1866,51.5647,,,,,Complete record,Hedgehog,pointing downward but getting images,1,,,,,,
134,67,1,TRP-18-12,BrowningSFP,03/05/2018,16:45,18,30,21/05/2018,15:54,Triple stemmed birch,-0.18433425,51.5647443,,,,,complete record,hedgehog,good placement,1,,,,,,
135,68,1,TRP1808,browningSFP,03/05/2018,17:00,19,15,22/05/2018,16:01,Padlock 152. red iron gate in kitchen garden,-0.1823265,51.5648023,,,,,complete record,hedgehog,good placement,1,,,,,,
136,146,2,IOZ18CAM12,BrowningSFP,18/05/2018,03:00,17,60,04/06/2018,12:21,Lampost opposite side of stream to point but same habitat,-0.1846537,51.5757606,,,399,,few pictures with dense vegetation,0 appearances but complete record,,1,,,,,,
137,149,2,IOZ18CAM14,BrowningSFP,18/05/2018,03:30,2,40,20/05/2018,18:05,Lampost near point,-0.1862298,51.5764692,,,399,,runs only 2 days ,,Sighting of foxes,1,,,,,,
138,148,2,IOZ18CAM13,BrowningSFP,18/05/2018,04:00,13,45,31/05/2018,,next to foot bridge same side of stream as original point,-0.1844793,51.5767778,,,399,,complete record,,,1,,,,,,
139,83,1,MR5800,Reconyx 800,03/05/2018,16:30,19,30,22/05/2018,15:34,"Two young oaks beside two mature birch, 5m off main path",-0.1844,51.5661,,,,,complete record,hedgehog,,1,,,,,,
140,84,1,IOZ3RH600,Reconyx 600,03/05/2018,17:10,10,25,13/05/2018,,"Padlock 152. heather site, lime tree adjacent to cut trhough",-0.1823265,51.5648023,,,,,TIME LASPE!,10 days probably enough,,1,,,,,,
141,88,2,TRP 18-05,BrowningSFP,30/05/2018,16:00,19,,18/06/2018,,"Silver birch, in fork of path, now attached to fence next to gate",-0.17379,51.56611,,,399,,,Not great placement no real photos,redo..,2,,,,,,
142,80,1,TRP-18-01,BrowningSFP,03/05/2018,16:48,16,,19/05/2018,16:01,complete record - set 12 hours ahead,-0.19073,51.56611,,,,,,,,1,,,,,,
143,81,1,TRP-18-15,browningSFP,03/05/2018,17:00,16,,19/05/2018,16:20,complete but turned down still hedgehogs!,-0.18873,51.56595,,,,,,,,1,,,,,,
144,82,1,IOZ8600,Reconyx 600,02/05/2018,17:14,20,,22/05/2018,15:28,attached to log and holly combination,-0.18649,51.56611,,,,,,,,1,,,,,,
145,96,1,LHW17-1,BrowningSFP,03/05/2018,16:29,5,,08/05/2018,13:01,at trail junction on tree,-0.19073,51.56742,,,,,,active only five days.. ,hedgehog,1,,,,,,
146,98,2,MR9800,Reconyx 800,04/06/2018,13.1,10,,14/06/2018,15:18,attached to fence around shrub areas - south of point,-0.18668,51.56729,,,,,,card full - runs only 3 days,Complete- interesting foxes + hegehogs ,1,,,,,,
147,43,2,LHW 18-11,BrowningSFP,30/05/2018,~16:30,19,,18/06/2018,,"Along the big path lined with trees, on one of the trees along that path",-0.169554095,51.56216468,,,399,,,0,,2,,,,,,
148,106,1,IOZ3600,Reconyx 600,17/05/2018,11:30,14,40,31/05/2018,11:57,inside fence near holly trees on point,-0.16743,51.56742,,,,,6% charge,complete record  w hogs!,hedgehog,1,,,,,,
149,107,1,CC3500,Reconyx 500,17/05/2018,12:35,14,50,31/05/2018,12:04,near oath on point inside fence,-0.16531,51.56742,,,,,complete record,47% charged,hedgehog,1,,,,,,
150,109,2,LHW18-13,browningSFP,17/05/2018,12:26,14,50,31/05/2018,12:17,on fence near point,-0.16108,51.56742,,,,,complete record,hedgehog,hedgehog,1,,,,,,
151,99,1,TRP-18-04,browningSFP,02/05/2018,13:15,17,,19/05/2018,15:26,garden in trees,-0.18438,51.56742,,,,,,,hedgehog,1,,,,,,
152,96,2,MR11800,Reconyx 800,04/06/2018,13.25,10,40,14/06/2018,15:27,at trail junction on tree,-0.19073,51.56742,,,,,,,Complete- very nice footage ,1,,,,,,
153,103,1,IOZ4600,Reconyx,21/06/2018,15:00,14,48,05/07/2018,13:18,"East of point, a tree along fence",-0.1734098,51.5674643,,,399,,,MISSING IN DATA SET,,,,,,,,
154,104,1,IOZ5500,Reconyx,21/06/2018,15:05,14,56,05/07/2018,13:24,In grassland in group of trees,-0.1715108,51.5677613,,,131,,,,,,,,,,,
155,116,1,LHW18-2,BrowningSFP,17/05/2018,13:38,14,50,31/05/2018,11:52,inside KH on point,-0.16531,51.56874,,,,,complete record,,,1,,,,,,
156,117,1,LHW18-9,BrowningSFP,17/05/2018,13:16,14,40,31/05/2018,12:00,oak tree near point,-0.16319,51.56874,,,,,not many photos but complete record,,,1,,,,,,
157,105,1,LHW1811,Browning ,21/06/2018,15:25,14,50,05/07/2018,13:29,At end of meadow on edge where forest starts,-0.1694268,51.567351,,,399,,,,,,,,,,,
158,112,1,TRP1803,Browning ,05/07/2018,12:11,14,35,19/07/2018,12:36,Off path in the small pine trees - on point,,,,,399,,,,,,,,,,,
159,113,1,IOZ1825,Browning ,21/06/2018,14:01,14,38,05/07/2018,12;24,By gate into fenced off area in middle of grassland - very poor record with few photos other than vegetation,-0.1710123,51.568528,,,352 (Adrian's lock - return to him),,,CNT DATA,,,,,,,,
160,114,1,IOZ1815,Browning ,21/06/2018,14:17,14,68,05/07/2018,12:20,WRONG TIME +7:20 ,-0.1698261,51.5686933,,,478,,,,,,,,,,,
161,115,1,LHW188,Browning ,21/06/2018,14:35,4,39,25/06/2018,18:38,"On fence, near bin, on point",,,,,505(Adrian's lock - return to him),,,,,,,,,,,
162,121,1,BC8500,Reconyx,21/06/2018,13:18,14,52,05/07/2018,unknown,"Off grass into trees below dairy, very south of point",-0.171432,51.5696048,,,110,,,Missing in DATA SET - few photos,,,,,,,,
163,123,1,IOZ1811,??,21/06/2018,15:47,9,38,30/06/2018,unknown,Way off point (due to festival),-0.1659821,51.5695417,,,399,,,Missing in DATA SET - few photos,,,,,,,,
164,124,1,LHW185,Browning,21/06/2018,12:40,3,45,24/06/2018,08:13,"On tree off path, top of lawn that leads down to pond, on point",,,,,399,,,Missing in DATA SET,,,,,,,,
165,130,1,MR1800,Reconyx,22/06/2018,11:48,13,58,05/07/2018,07:11,"On point, inside fence in corner by car park",,,,,151,,,Missing in DATA SET,,,,,,,,
166,131,1,IOZ1819,Browning,21/06/2018,12:09,14,32,05/07/2018,07:29,Off point in bushes off path is gap in vegetation to go through,-0.1695062,51.571433,,,288,,,Missing in DATA SET,,,,,,,,
167,132,1,IOZ1816,Browning,21/06/2018,12:25,14,39,05/07/2018,unknown,In private garden on fence post in corner,-0.1671858,51.5718852,,,152,,,Missing in DATA SET,,,,,,,,
176,50,2,LHW 18-5,BrowningSFP,30/05/2018,15:10,15,,14/06/2018,15:37,"on point, in clearing",-0.1885,51.5632,,,399,,,Placement poor pointed down replace?,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
